Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1595426400000,2020-07-22 14:00:00,BTCEUR,8097.54,8115.56,8092.87,8102.1,6.324033,51249.00456128,309
1595422800000,2020-07-22 13:00:00,BTCEUR,8099.74,8108.6,8090.61,8100.15,6.388739,51763.17898929,275
1595419200000,2020-07-22 12:00:00,BTCEUR,8119.43,8130.99,8089.96,8102.01,5.690994,46103.55036183,214
1595415600000,2020-07-22 11:00:00,BTCEUR,8121.91,8130.79,8110.61,8110.62,6.278677,50968.66373447,272
1595412000000,2020-07-22 10:00:00,BTCEUR,8118.08,8130.25,8095.0,8121.88,10.081845,81753.44743794,421
1595408400000,2020-07-22 09:00:00,BTCEUR,8131.34,8164.0,8100.52,8116.88,10.704543,87043.78808071,439
1595404800000,2020-07-22 08:00:00,BTCEUR,8122.16,8146.72,8122.16,8131.34,24.580833,200118.50658428,462
1595401200000,2020-07-22 07:00:00,BTCEUR,8147.8,8173.0,8122.16,8122.16,4.923985,40125.00011022,415
1595397600000,2020-07-22 06:00:00,BTCEUR,8151.32,8171.23,8145.65,8152.25,4.210198,34368.73773139,190
1595394000000,2020-07-22 05:00:00,BTCEUR,8155.31,8159.76,8134.26,8151.76,4.019864,32765.4279347,181
1595390400000,2020-07-22 04:00:00,BTCEUR,8159.05,8171.01,8155.06,8156.57,0.592119,4833.09871096,75
1595386800000,2020-07-22 03:00:00,BTCEUR,8161.26,8174.3,8157.72,8165.14,1.127182,9207.01453305,66
1595383200000,2020-07-22 02:00:00,BTCEUR,8166.89,8173.0,8162.47,8163.33,0.322712,2635.19970285,37
1595379600000,2020-07-22 01:00:00,BTCEUR,8166.0,8182.51,8163.63,8171.93,1.1924,9746.27930265,54
1595376000000,2020-07-22 00:00:00,BTCEUR,8184.82,8186.9,8168.83,8168.83,0.95178,7779.88572247,52
1595372400000,2020-07-21 23:00:00,BTCEUR,8182.77,8194.6,8170.11,8187.31,0.484993,3966.9884845,56
1595368800000,2020-07-21 22:00:00,BTCEUR,8186.47,8196.36,8173.44,8173.44,0.728843,5963.9562025,52
1595365200000,2020-07-21 21:00:00,BTCEUR,8174.79,8194.87,8166.0,8182.82,1.068834,8740.66237986,109
1595361600000,2020-07-21 20:00:00,BTCEUR,8165.54,8194.66,8165.54,8175.32,2.678879,21906.53252483,215
1595358000000,2020-07-21 19:00:00,BTCEUR,8196.0,8200.52,8156.62,8165.54,7.186891,58825.73660989,249
1595354400000,2020-07-21 18:00:00,BTCEUR,8169.61,8206.0,8163.89,8196.0,3.305654,27054.98964826,322
1595350800000,2020-07-21 17:00:00,BTCEUR,8181.36,8186.0,8160.0,8180.3,4.256905,34784.26813751,347
1595347200000,2020-07-21 16:00:00,BTCEUR,8163.43,8183.27,8156.62,8181.72,3.301243,26973.36647519,155
1595343600000,2020-07-21 15:00:00,BTCEUR,8215.0,8220.0,8166.64,8166.64,9.784622,80124.57423895,289
1595340000000,2020-07-21 14:00:00,BTCEUR,8263.94,8275.0,8186.64,8214.84,14.844035,122267.09183167,471
