Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR,tradecount
1634338800000,2021-10-15 23:00:00,ETHEUR,3311.0,3331.5,3302.38,3328.4,543.6085,1802916.529715,1868
1634335200000,2021-10-15 22:00:00,ETHEUR,3300.53,3317.65,3293.0,3311.03,578.2478,1911594.897196,2329
1634331600000,2021-10-15 21:00:00,ETHEUR,3336.99,3339.49,3284.58,3300.55,1308.612,4338527.889534,4367
1634328000000,2021-10-15 20:00:00,ETHEUR,3309.95,3360.0,3300.0,3336.99,2729.9884,9091611.976091,8762
1634324400000,2021-10-15 19:00:00,ETHEUR,3335.29,3337.99,3300.0,3309.84,900.5227,2983571.67399,4285
1634320800000,2021-10-15 18:00:00,ETHEUR,3317.37,3346.74,3317.37,3335.99,1128.1222,3760471.452446,4864
1634317200000,2021-10-15 17:00:00,ETHEUR,3324.72,3329.88,3306.42,3316.78,1282.6616,4257978.783886,6054
1634313600000,2021-10-15 16:00:00,ETHEUR,3263.99,3325.48,3261.48,3323.93,1445.7107,4762619.416062,6451
1634310000000,2021-10-15 15:00:00,ETHEUR,3282.21,3284.99,3258.51,3263.99,1303.0147,4260645.511319,4878
1634306400000,2021-10-15 14:00:00,ETHEUR,3284.53,3294.0,3266.48,3281.35,1387.1226,4552532.238283,4995
1634302800000,2021-10-15 13:00:00,ETHEUR,3244.78,3299.36,3242.36,3284.53,1142.2366,3740971.581738,4530
1634299200000,2021-10-15 12:00:00,ETHEUR,3247.79,3262.6,3238.78,3245.14,932.0604,3030189.410155,3532
1634295600000,2021-10-15 11:00:00,ETHEUR,3250.52,3259.37,3246.29,3248.22,629.3063,2046512.787618,2661
1634292000000,2021-10-15 10:00:00,ETHEUR,3249.09,3250.66,3226.43,3250.51,934.4067,3025291.410716,3579
1634288400000,2021-10-15 09:00:00,ETHEUR,3234.71,3250.5,3218.17,3249.3,1192.0629,3856368.250324,4493
1634284800000,2021-10-15 08:00:00,ETHEUR,3269.41,3271.96,3221.28,3234.96,2104.0881,6826424.991489,7007
1634281200000,2021-10-15 07:00:00,ETHEUR,3288.51,3289.49,3268.95,3268.95,717.8435,2353304.063981,3110
1634277600000,2021-10-15 06:00:00,ETHEUR,3309.77,3312.65,3280.0,3288.9,895.9744,2951154.180682,3466
1634274000000,2021-10-15 05:00:00,ETHEUR,3284.62,3314.56,3279.53,3309.74,1774.6547,5852003.710325,6029
1634270400000,2021-10-15 04:00:00,ETHEUR,3285.34,3286.33,3263.94,3284.61,872.8484,2857402.075608,2914
1634266800000,2021-10-15 03:00:00,ETHEUR,3291.69,3299.03,3278.82,3285.4,820.4886,2696759.771532,2510
1634263200000,2021-10-15 02:00:00,ETHEUR,3229.66,3300.0,3220.13,3292.04,2077.5365,6799973.780686,6702
1634259600000,2021-10-15 01:00:00,ETHEUR,3244.1,3251.98,3218.14,3230.0,982.1823,3174211.188777,2944
1634256000000,2021-10-15 00:00:00,ETHEUR,3266.93,3272.97,3234.69,3245.52,1122.6037,3652109.34554,3321
1634252400000,2021-10-14 23:00:00,ETHEUR,3255.95,3270.0,3243.13,3266.98,440.9666,1436712.521675,1693
1634248800000,2021-10-14 22:00:00,ETHEUR,3248.99,3261.3,3239.0,3255.5,571.7747,1856670.476278,2123
1634245200000,2021-10-14 21:00:00,ETHEUR,3231.93,3248.97,3230.45,3248.91,444.4424,1439983.209786,2006
1634241600000,2021-10-14 20:00:00,ETHEUR,3260.8,3261.68,3230.52,3232.35,739.375,2398304.797985,3010
1634238000000,2021-10-14 19:00:00,ETHEUR,3270.5,3275.33,3232.66,3260.77,951.2807,3095303.535846,3831
1634234400000,2021-10-14 18:00:00,ETHEUR,3268.87,3273.37,3236.15,3271.55,1377.4732,4485787.963935,5298
