Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR,tradecount
1659139200000,2022-07-30,LTCEUR,59.39,62.73,58.76,59.25,30586.764,1848456.66032,6644
1659052800000,2022-07-29,LTCEUR,62.3,63.2,58.79,59.28,21196.453,1285958.19083,5614
1658966400000,2022-07-28,LTCEUR,57.78,63.32,57.25,62.25,27156.958,1642682.83175,6382
1658880000000,2022-07-27,LTCEUR,53.25,57.82,52.3,57.81,17469.141,963245.31573,4262
1658793600000,2022-07-26,LTCEUR,52.87,53.31,51.37,53.31,13303.311,694429.17745,3599
1658707200000,2022-07-25,LTCEUR,57.25,57.85,52.78,52.81,13935.291,766904.246,3825
1658620800000,2022-07-24,LTCEUR,55.3,58.51,55.3,57.22,12652.675,721321.07617,3426
1658534400000,2022-07-23,LTCEUR,54.97,56.11,53.43,55.23,11649.394,638365.02113,3306
1658448000000,2022-07-22,LTCEUR,56.83,58.26,54.4,54.97,25233.921,1434822.04305,4998
1658361600000,2022-07-21,LTCEUR,56.16,57.43,54.1,56.81,20146.319,1122133.74771,5040
1658275200000,2022-07-20,LTCEUR,56.65,60.46,55.5,56.16,25622.884,1478952.74277,6322
1658188800000,2022-07-19,LTCEUR,57.8,58.75,55.0,56.61,21093.235,1187133.50715,5564
1658102400000,2022-07-18,LTCEUR,55.15,58.37,54.68,57.85,21781.648,1238407.10966,4795
1658016000000,2022-07-17,LTCEUR,54.58,56.5,53.98,55.04,15343.081,845620.89049,3683
1657929600000,2022-07-16,LTCEUR,51.36,55.03,50.67,54.59,14029.364,742007.28881,3326
1657843200000,2022-07-15,LTCEUR,51.13,52.37,50.46,51.33,16949.352,868197.67979,3810
1657756800000,2022-07-14,LTCEUR,49.43,51.56,47.82,51.1,21023.122,1040628.12804,4253
1657670400000,2022-07-13,LTCEUR,47.15,49.51,46.46,49.41,23090.727,1104427.94168,4532
1657584000000,2022-07-12,LTCEUR,48.35,49.1,47.15,47.22,18913.346,911990.93698,3804
1657497600000,2022-07-11,LTCEUR,51.29,51.44,48.07,48.47,14606.228,732790.80379,3331
1657411200000,2022-07-10,LTCEUR,53.19,54.1,49.71,51.25,26779.367,1405079.88093,4831
1657324800000,2022-07-09,LTCEUR,50.48,53.8,50.45,53.11,13671.721,710792.13386,3006
1657238400000,2022-07-08,LTCEUR,51.33,53.03,50.09,50.43,16416.053,842768.71318,3452
1657152000000,2022-07-07,LTCEUR,49.36,51.71,48.57,51.22,15404.444,769528.6643,3284
1657065600000,2022-07-06,LTCEUR,48.36,49.82,47.66,49.35,17804.809,871862.20511,3596
1656979200000,2022-07-05,LTCEUR,50.09,50.24,46.72,48.38,18774.563,905664.85738,3835
1656892800000,2022-07-04,LTCEUR,48.75,50.2,47.62,50.0,14013.975,684710.82741,2967
1656806400000,2022-07-03,LTCEUR,48.51,49.88,47.16,48.81,13833.304,667760.76924,2975
1656720000000,2022-07-02,LTCEUR,49.03,49.48,47.77,48.44,21767.502,1059743.53868,5330
1656633600000,2022-07-01,LTCEUR,51.52,53.63,47.9,49.03,29336.08,1462790.61143,6684
1656547200000,2022-06-30,LTCEUR,51.22,51.6,48.19,51.36,19599.377,968669.31652,4174
1656460800000,2022-06-29,LTCEUR,50.02,52.11,48.92,51.31,18279.878,918490.08656,3775
1656374400000,2022-06-28,LTCEUR,52.76,54.0,49.93,50.02,16044.034,832355.68124,3638
1656288000000,2022-06-27,LTCEUR,53.57,55.38,51.77,52.78,16197.7,868264.16563,3427
1656201600000,2022-06-26,LTCEUR,55.86,57.35,53.56,53.62,13997.045,780506.72744,3071
1656115200000,2022-06-25,LTCEUR,52.92,56.69,51.81,55.82,30154.476,1636288.52219,5728
1656028800000,2022-06-24,LTCEUR,52.97,54.38,51.61,52.88,26476.416,1405678.29219,5424
1655942400000,2022-06-23,LTCEUR,49.4,53.9,49.15,52.97,38380.308,1997184.32876,7021
1655856000000,2022-06-22,LTCEUR,50.8,50.8,48.1,49.26,27956.463,1376977.41852,4969
1655769600000,2022-06-21,LTCEUR,50.13,52.74,49.26,50.78,39496.71,2003462.27919,6220
1655683200000,2022-06-20,LTCEUR,51.82,52.3,48.79,50.15,45859.96,2292411.17659,7937
1655596800000,2022-06-19,LTCEUR,45.13,53.84,42.99,51.87,89721.482,4343163.36603,13990
1655510400000,2022-06-18,LTCEUR,45.4,46.19,39.69,45.23,36985.6,1589758.17115,6398
1655424000000,2022-06-17,LTCEUR,42.55,46.17,42.21,45.36,24809.219,1101880.56771,4525
1655337600000,2022-06-16,LTCEUR,48.41,48.92,41.8,42.52,32173.491,1432986.12986,5724
1655251200000,2022-06-15,LTCEUR,44.24,48.82,39.79,48.4,66606.368,2885279.2989,10069
1655164800000,2022-06-14,LTCEUR,41.6,44.51,38.8,44.2,41645.454,1784370.32606,6888
1655078400000,2022-06-13,LTCEUR,45.6,46.0,39.4,41.7,39737.832,1659867.089897,7197
1654992000000,2022-06-12,LTCEUR,49.7,50.1,45.1,45.7,23195.665,1110615.467,4912
1654905600000,2022-06-11,LTCEUR,53.8,54.9,49.2,49.7,30513.404,1576190.4253,5762
1654819200000,2022-06-10,LTCEUR,56.5,56.7,52.8,53.9,19073.53,1049522.4081,4706
1654732800000,2022-06-09,LTCEUR,57.3,58.3,55.8,56.7,11662.654,667351.7646,3844
1654646400000,2022-06-08,LTCEUR,59.6,60.3,57.1,57.3,14663.144,853762.682,4304
1654560000000,2022-06-07,LTCEUR,60.3,61.2,56.4,59.6,14167.999,827865.3691,4414
1654473600000,2022-06-06,LTCEUR,58.9,61.9,58.7,60.3,11778.593,713863.674,4162
1654387200000,2022-06-05,LTCEUR,59.5,59.6,57.6,58.9,8707.997,511857.7904,3411
1654300800000,2022-06-04,LTCEUR,58.5,60.1,57.3,59.6,7580.65,445246.4061,3131
1654214400000,2022-06-03,LTCEUR,60.0,60.3,57.3,58.5,9485.974,553957.6076,3773
1654128000000,2022-06-02,LTCEUR,58.8,60.2,58.3,60.1,10573.803,626473.3021,3965
1654041600000,2022-06-01,LTCEUR,63.7,65.6,58.0,58.9,15150.158,939651.8807,4952
1653955200000,2022-05-31,LTCEUR,64.2,64.9,62.4,63.7,11430.138,729310.261,4312
1653868800000,2022-05-30,LTCEUR,59.4,64.6,58.9,64.3,11698.79,724549.5519,3876
1653782400000,2022-05-29,LTCEUR,58.7,60.0,57.7,59.4,9529.736,561265.4902,2834
1653696000000,2022-05-28,LTCEUR,57.4,59.7,57.1,58.8,8492.57,498008.1392,3016
1653609600000,2022-05-27,LTCEUR,59.1,59.9,56.7,57.3,14258.073,830698.8002,4627
1653523200000,2022-05-26,LTCEUR,63.8,64.3,56.6,59.2,13557.121,814517.9055,4352
1653436800000,2022-05-25,LTCEUR,65.5,66.8,63.7,63.9,9101.918,589403.1538,3294
1653350400000,2022-05-24,LTCEUR,64.6,65.9,62.5,65.5,13067.519,845456.6456,3957
1653264000000,2022-05-23,LTCEUR,67.7,69.3,64.0,64.6,26473.765,1780905.2789,7438
1653177600000,2022-05-22,LTCEUR,66.3,68.6,65.7,67.8,13047.883,879757.5235,4253
1653091200000,2022-05-21,LTCEUR,64.8,66.9,64.3,66.0,12374.741,813825.5794,4004
1653004800000,2022-05-20,LTCEUR,68.2,69.3,63.3,65.1,29101.902,1914538.5923,7709
1652918400000,2022-05-19,LTCEUR,63.1,68.6,61.7,68.1,24841.371,1626115.7067,7809
1652832000000,2022-05-18,LTCEUR,69.1,70.4,62.8,63.0,34511.148,2283003.264,9481
1652745600000,2022-05-17,LTCEUR,64.5,70.0,64.2,69.3,35130.569,2382368.1973,7964
1652659200000,2022-05-16,LTCEUR,68.8,68.9,62.4,64.3,27448.88,1769781.4236,7344
1652572800000,2022-05-15,LTCEUR,66.2,69.0,63.5,68.8,23248.291,1530122.4602,6407
1652486400000,2022-05-14,LTCEUR,65.3,67.4,61.7,66.3,29729.601,1914857.0797,7282
1652400000000,2022-05-13,LTCEUR,61.9,70.4,60.8,65.3,37646.896,2518316.6332,8568
1652313600000,2022-05-12,LTCEUR,63.1,66.1,47.0,61.8,58735.9343,3379026.67369,13824
1652227200000,2022-05-11,LTCEUR,76.4,78.5,60.8,62.7,48571.3969,3511046.1305,12178
1652140800000,2022-05-10,LTCEUR,72.2,80.6,69.5,76.2,46914.936,3574082.94434,11455
1652054400000,2022-05-09,LTCEUR,89.3,90.2,71.5,72.1,34365.3119,2788931.940774,10740
1651968000000,2022-05-08,LTCEUR,89.6,97.0,87.0,89.2,17679.213,1571746.6298,6232
1651881600000,2022-05-07,LTCEUR,91.8,92.3,88.0,89.5,11335.094,1031163.8996,4315
1651795200000,2022-05-06,LTCEUR,91.9,93.5,87.9,91.8,22526.031,2049542.6222,7236
1651708800000,2022-05-05,LTCEUR,100.1,100.6,90.3,92.0,21415.853,2031500.9594,6936
1651622400000,2022-05-04,LTCEUR,94.6,100.9,94.2,100.2,16939.673,1654305.3651,5885
1651536000000,2022-05-03,LTCEUR,95.8,96.6,92.7,94.5,12932.845,1229637.871,4776
1651449600000,2022-05-02,LTCEUR,94.1,97.0,93.5,95.8,15734.22,1496754.6016,5759
1651363200000,2022-05-01,LTCEUR,91.1,95.0,89.9,94.1,15216.912,1408631.0468,5056
1651276800000,2022-04-30,LTCEUR,95.3,96.4,89.6,91.2,15211.302,1427592.4487,5314
1651190400000,2022-04-29,LTCEUR,98.4,99.1,93.3,95.3,16655.716,1598080.6623,5668
1651104000000,2022-04-28,LTCEUR,95.1,99.4,94.7,98.4,19725.482,1915091.6489,5951
1651017600000,2022-04-27,LTCEUR,92.8,96.6,92.0,95.3,14801.409,1400803.84,4250
1650931200000,2022-04-26,LTCEUR,97.7,98.3,90.8,92.9,16055.94,1530475.7172,4775
1650844800000,2022-04-25,LTCEUR,96.9,97.9,91.9,97.8,19151.199,1818849.4195,4997
1650758400000,2022-04-24,LTCEUR,97.6,98.2,96.1,96.9,7634.65,742112.5375,2670
1650672000000,2022-04-23,LTCEUR,97.8,99.5,96.9,97.6,10392.386,1022721.11,2911
1650585600000,2022-04-22,LTCEUR,98.6,100.6,97.3,97.8,12702.41,1259651.0095,4083
